run_id,condition_1,condition_2,condition_3,condition_4,condition_5
1,"(500.0, 0.5, 1e-05, 15, 500.0)","(600.0, 5.0, 0.0001, 1, 450.0)","(800.0, 4.5, 0.001, 7, 400.0)","(750.0, 4.0, 0.01, 12, 350.0)","(700.0, 3.5, 0.1, 5, 300.0)"
2,"(899.9, 0.5, 1e-05, 15, 0.5)","(850.0, 3.0, 0.001, 10, 5.0)","(750.0, 2.5, 0.01, 7, 50.0)","(700.0, 4.0, 0.1, 5, 200.0)","(600.0, 5.0, 1.0, 1, 500.0)"
4,"(500.0, 0.5, 1.0, 15, 500.0)","(550.0, 1.0, 1e-05, 15, 450.0)","(600.0, 2.0, 0.0001, 10, 300.0)","(700.0, 3.0, 0.001, 7, 100.0)","(750.0, 4.0, 0.01, 5, 50.0)"
6,"(500.0, 0.5, 1e-05, 15, 450.0)","(600.0, 1.2, 0.0001, 12, 200.0)","(700.0, 3.5, 0.1, 7, 50.0)","(850.0, 4.5, 0.01, 5, 15.0)","(900.0, 4.0, 1.0, 1, 5.0)"
7,"(500.0, 5.0, 1.0, 1, 500.0)","(750.0, 4.5, 9.99e-05, 15, 450.0)","(700.0, 4.0, 0.1, 14, 400.0)","(650.0, 3.5, 0.002, 13, 350.0)","(600.0, 3.0, 0.0003, 12, 300.0)"
8,"(500.0, 0.5, 1e-05, 1, 5.0)","(600.0, 1.0, 0.0001, 3, 20.0)","(700.0, 2.0, 0.001, 5, 100.0)","(750.0, 3.0, 0.01, 10, 250.0)","(800.0, 4.0, 0.1, 15, 400.0)"
10,"(500.0, 0.5, 1e-05, 15, 0.5)","(500.0, 1.0, 1e-05, 14, 10.0)","(600.0, 2.0, 0.0001, 13, 20.0)","(700.0, 3.0, 0.001, 12, 30.0)","(800.0, 4.0, 0.01, 11, 40.0)"
11,"(500.0, 4.5, 1e-05, 15, 0.5)","(500.0, 4.5, 1e-05, 15, 5.0)","(500.0, 4.5, 1e-05, 15, 50.0)","(500.0, 4.5, 1e-05, 15, 100.0)","(500.0, 4.5, 1e-05, 15, 500.0)"
12,"(900.0, 0.5, 1.0, 15, 0.5)","(850.0, 0.6, 0.1, 14, 1.0)","(800.0, 1.0, 0.01, 13, 2.0)","(750.0, 1.5, 0.001, 12, 3.0)","(700.0, 2.0, 0.0001, 11, 4.0)"
13,"(500.0, 5.0, 1e-05, 1, 5.0)","(600.0, 1.0, 0.0001, 3, 20.0)","(700.0, 1.5, 0.001, 7, 50.0)","(750.0, 2.0, 0.01, 10, 100.0)","(800.0, 2.5, 0.01, 15, 200.0)"
14,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 1.0, 0.0001, 3, 10.0)","(700.0, 2.0, 0.001, 5, 50.0)","(800.0, 3.0, 0.01, 10, 200.0)","(750.0, 4.0, 0.1, 15, 300.0)"
15,"(500.0, 0.5, 1e-05, 1, 0.5)","(550.0, 1.0, 0.0001, 2, 1.0)","(600.0, 2.0, 0.001, 3, 10.0)","(650.0, 3.0, 0.01, 4, 20.0)","(700.0, 4.0, 0.1, 5, 30.0)"
16,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 1.0, 0.0001, 2, 50.0)","(700.0, 2.0, 0.001, 5, 100.0)","(800.0, 3.0, 0.01, 10, 200.0)","(850.0, 4.0, 0.1, 15, 500.0)"
