run_id,condition_1,condition_2,condition_3,condition_4,condition_5
1,"(850.0, 3.0, 0.01, 10, 100.0)","(800.0, 2.5, 0.01, 12, 150.0)","(750.0, 2.0, 0.02, 8, 80.0)","(700.0, 1.5, 0.03, 6, 50.0)","(650.0, 1.0, 0.05, 4, 20.0)"
2,"(700.0, 3.0, 0.0005, 10, 100.0)","(650.0, 2.5, 0.0008, 8, 150.0)","(600.0, 2.0, 0.001, 6, 200.0)","(550.0, 1.8, 0.0015, 4, 250.0)","(500.0, 1.5, 0.002, 3, 300.0)"
3,"(700.0, 2.5, 0.0001, 10, 100.0)","(680.0, 2.0, 0.0002, 8, 120.0)","(660.0, 1.8, 0.0003, 6, 140.0)","(640.0, 1.5, 0.0004, 4, 160.0)","(600.0, 1.0, 0.0005, 2, 180.0)"
5,"(750.0, 1.5, 0.005, 10, 100.0)","(700.0, 2.0, 0.008, 8, 120.0)","(650.0, 2.5, 0.01, 6, 140.0)","(600.0, 3.0, 0.015, 4, 160.0)","(550.0, 3.5, 0.02, 2, 180.0)"
6,"(800.0, 2.5, 0.002, 10, 100.0)","(780.0, 2.3, 0.003, 8, 90.0)","(750.0, 2.0, 0.004, 6, 80.0)","(720.0, 1.8, 0.005, 4, 70.0)","(700.0, 1.5, 0.006, 2, 60.0)"
7,"(700.0, 3.0, 0.001, 10, 100.0)","(680.0, 3.5, 0.0015, 10, 120.0)","(650.0, 3.8, 0.002, 8, 150.0)","(620.0, 4.0, 0.0025, 6, 180.0)","(600.0, 4.5, 0.003, 4, 200.0)"
8,"(700.0, 3.0, 0.0001, 10, 20.0)","(680.0, 2.8, 0.00015, 9, 25.0)","(650.0, 2.5, 0.0002, 8, 30.0)","(630.0, 2.2, 0.00025, 7, 35.0)","(600.0, 2.0, 0.0003, 6, 40.0)"
9,"(800.0, 2.0, 0.01, 5, 50.0)","(780.0, 1.8, 0.02, 4, 60.0)","(760.0, 1.6, 0.03, 3, 70.0)","(740.0, 1.4, 0.04, 2, 80.0)","(720.0, 1.2, 0.05, 1, 90.0)"
10,"(700.0, 2.5, 0.005, 10, 100.0)","(680.0, 2.0, 0.004, 8, 90.0)","(660.0, 1.8, 0.003, 6, 80.0)","(640.0, 1.5, 0.002, 4, 70.0)","(620.0, 1.0, 0.001, 2, 60.0)"
11,"(800.0, 2.5, 0.001, 5, 40.0)","(780.0, 2.3, 0.0012, 4, 45.0)","(760.0, 2.1, 0.0015, 3, 50.0)","(740.0, 1.9, 0.002, 2, 55.0)","(720.0, 1.7, 0.003, 1, 60.0)"
12,"(750.0, 3.0, 0.015, 10, 50.0)","(700.0, 2.8, 0.02, 9, 60.0)","(650.0, 2.5, 0.03, 8, 70.0)","(600.0, 2.0, 0.04, 7, 80.0)","(550.0, 1.5, 0.05, 6, 90.0)"
13,"(750.0, 2.5, 0.02, 5, 50.0)","(700.0, 2.3, 0.03, 4, 60.0)","(650.0, 2.1, 0.04, 3, 70.0)","(600.0, 1.9, 0.05, 2, 80.0)","(550.0, 1.7, 0.06, 1, 90.0)"
14,"(750.0, 2.5, 0.002, 10, 30.0)","(700.0, 2.0, 0.005, 8, 40.0)","(650.0, 1.8, 0.01, 6, 50.0)","(600.0, 1.5, 0.02, 4, 60.0)","(550.0, 1.0, 0.03, 2, 70.0)"
15,"(750.0, 2.0, 0.001, 5, 50.0)","(720.0, 1.8, 0.002, 4, 60.0)","(700.0, 1.5, 0.003, 3, 70.0)","(680.0, 1.3, 0.004, 2, 80.0)","(650.0, 1.0, 0.005, 1, 90.0)"
