oxygen_pressure,laser_energy_density,temperature,frequency,thickness,normalized_distance
2.42e-02,2.49,644.2,6,150.29,0.364356
2.26e-03,2.16,578.7,5,62.68,0.365712
1.47e-02,1.94,666.9,9,102.48,0.396305
4.58e-02,2.01,686.0,4,41.32,0.409798
3.69e-03,2.34,695.6,8,171.57,0.516084
3.12e-01,2.68,606.8,7,94.03,0.552749
6.27e-02,2.58,738.1,8,75.02,0.554154
4.23e-04,1.51,544.9,5,131.41,0.570753
2.62e-04,1.99,729.1,7,45.29,0.582888
8.06e-04,2.07,747.5,2,81.72,0.586683
7.06e-03,1.78,597.9,9,26.28,0.589664
3.93e-01,1.83,535.6,6,66.67,0.590228
3.29e-02,1.02,573.0,7,122.83,0.601118
7.57e-02,1.56,626.3,3,187.00,0.606531
1.18e-03,1.72,713.7,1,110.86,0.608573
3.56e-04,2.53,657.9,6,17.92,0.627122
2.04e-02,1.48,757.2,5,13.93,0.640834
5.43e-03,1.33,507.5,3,90.07,0.650745
9.00e-03,2.76,784.9,3,138.24,0.676376
1.63e-01,1.25,704.3,9,143.36,0.678502
1.88e-04,2.97,616.1,4,103.93,0.679694
2.12e-01,1.67,794.9,4,152.69,0.681533
1.14e-04,1.41,676.3,3,54.23,0.684925
1.07e-02,2.92,555.0,2,159.61,0.740905
5.88e-04,1.09,635.6,9,164.74,0.746385
2.93e-03,1.17,766.8,6,199.03,0.767924
5.10e-01,2.82,723.7,4,180.17,0.772733
1.38e-04,2.43,564.4,8,192.10,0.795099
6.51e-01,2.27,775.5,10,116.00,0.808448
1.77e-03,2.74,526.7,10,53.74,0.808513
1.28e-01,2.23,517.4,2,5.48,0.827035
9.76e-01,1.25,588.6,1,32.96,0.898364
