oxygen_pressure,laser_energy_density,temperature,frequency,thickness,normalized_distance,RMS(10um)(nm),RMS(5um)(pm),thickness(measure),RRR
0.0242,2.49,644.2,6,150.29,0.364356,1.942,234.637,148.6,2.22480557833546
0.00226,2.16,578.7,5,62.68,0.365712,3.37,2495,57.1,1.07488322068061
0.0147,1.94,666.9,9,102.48,0.396305,2.849,258.332,117,1.94319279143428
0.0458,2.01,686,4,41.32,0.409798,4.122,759.511,38.6,3.16989018370582
0.00369,2.34,695.6,8,171.57,0.516084,4.797,811.187,182.4,1.86713547290192
0.312,2.68,606.8,7,94.03,0.552749,1.765,1692,96.6,6.34668975635631
0.0627,2.58,738.1,8,75.02,0.554154,3.447,216.347,76.75,4.11139755594485
0.000423,1.51,544.9,5,131.41,0.570753,0.941,746.136,132.5,0.648457324003493
0.000262,1.99,729.1,7,45.29,0.582888,2.94,443.048,47.5,2.05645181465456
0.000806,2.07,747.5,2,81.72,0.586683,10.808,8836,20.2,2.26286482510013
0.00706,1.78,597.9,9,26.28,0.589664,2.798,1549,24.1,1.49741816551149
0.393,1.83,535.6,6,66.67,0.590228,8.067,1385,70.8,4.45312655503783
0.0329,1.02,573,7,122.83,0.601118,2.436,1676,76.7,1.10157182693812
0.0757,1.56,626.3,3,187,0.606531,6.133,1681,128,3.48228154565411
0.00118,1.72,713.7,1,110.86,0.608573,5.233,4750,93,2.66133322504329
0.000356,2.53,657.9,6,17.92,0.627122,2.144,882.299,13.4,1.85247149160689
